City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,fisterra,42.9049,-9.2629,4.86,69,81,3.6,ES,1701816318
83,anadyr,64.75,177.4833,-17.72,84,100,5.0,RU,1701816318
84,coos bay,43.3665,-124.2179,17.4,82,100,4.12,US,1701816318
85,toamasina,-18.1667,49.3833,23.0,94,75,1.03,MG,1701816318
86,pahrump,36.2083,-115.9839,22.03,27,0,1.34,US,1701816319
87,talnakh,69.4865,88.3972,-33.18,82,6,1.28,RU,1701816319
88,colac,-38.3333,143.5833,15.65,50,95,1.46,AU,1701816181
89,kabalo,-6.05,26.9167,19.08,98,83,0.48,CD,1701816319
90,pekanbaru,0.5333,101.45,25.18,100,100,1.54,ID,1701816319
91,ushuaia,-54.8,-68.3,6.81,61,75,16.98,AR,1701816235
92,puerto ayora,-0.7393,-90.3518,27.98,90,57,0.89,EC,1701816320
93,macau,22.2006,113.5461,21.89,73,20,4.12,MO,1701816239
94,sant julia de loria,42.4625,1.4825,2.73,68,100,1.53,AD,1701816320
95,jiuquan,39.7432,98.5174,-0.76,27,5,1.94,CN,1701816320
96,georgetown,5.4112,100.3354,25.96,95,20,2.57,MY,1701816199
97,springbok,-29.6643,17.8865,17.1,45,0,1.73,ZA,1701816320
98,nova sintra,14.8667,-24.7167,21.84,75,81,9.82,CV,1701816320
99,olonkinbyen,70.9221,-8.7187,-2.06,77,84,6.08,SJ,1701816321
100,tazovsky,67.4667,78.7,-31.21,98,96,2.34,RU,1701816321
101,lebu,-37.6167,-73.65,13.7,79,59,4.68,CL,1701816321
102,bubaque,11.2833,-15.8333,28.26,66,14,5.47,GW,1701816321
103,tiksi,71.6872,128.8694,-18.31,91,100,6.32,RU,1701816321
104,tsiombe,-25.3,45.4833,21.37,96,4,2.14,MG,1701816321
105,kodiak,57.79,-152.4072,-1.27,64,75,12.35,US,1701816322
106,fort st. john,56.2499,-120.8529,6.94,53,20,11.32,CA,1701816269
107,fruita,39.1589,-108.729,12.64,44,0,2.06,US,1701816322
108,isafjordur,66.0755,-23.124,-2.37,87,35,3.26,IS,1701816322
109,i-n-salah,27.1935,2.4607,16.72,24,94,1.99,DZ,1701816322
110,port alfred,-33.5906,26.891,17.88,80,100,0.45,ZA,1701816322
111,auki,-8.7676,160.7034,26.99,89,100,4.96,SB,1701816323
112,kitimat,54.0524,-128.6534,6.21,64,100,1.34,CA,1701816323
113,vorgashor,67.5833,63.95,-30.39,96,28,1.41,RU,1701816323
114,alvorada,-12.48,-49.1247,28.78,46,74,0.2,BR,1701816323
115,dadukou,26.5479,101.7054,11.05,91,99,0.35,CN,1701816323
116,lospalos,-8.5186,127.0025,27.4,70,52,2.44,TL,1701816323
117,quimili,-27.6333,-62.4167,18.52,96,100,1.0,AR,1701816324
118,kapa'a,22.0752,-159.319,27.99,81,40,8.75,US,1701816299
119,luderitz,-26.6481,15.1594,16.87,73,18,8.0,NA,1701816324
120,benjamin constant,-4.3831,-70.0311,25.07,94,75,2.06,BR,1701816325
121,haiku-pauwela,20.9219,-156.3051,28.01,59,20,9.26,US,1701816325
122,greymouth,-42.4667,171.2,15.37,71,100,3.08,NZ,1701816325
123,albany,42.6001,-73.9662,0.91,85,100,1.25,US,1701816137
124,nar'yan-mar,67.6713,53.087,-32.59,99,32,1.64,RU,1701816325
125,saint-pierre,-21.3393,55.4781,21.98,78,0,3.09,RE,1701816326
126,g'uzor,38.6214,66.2522,6.02,29,0,0.65,UZ,1701816326
127,kirakira,-10.4544,161.9205,26.41,92,100,6.84,SB,1701816326
128,blackwater,-23.5833,148.8833,28.17,52,1,3.77,AU,1701816326
129,letlhakane,-21.4167,25.5833,27.18,20,18,8.09,BW,1701816326
130,palikir - national government center,6.9248,158.1611,25.41,94,100,4.12,FM,1701816327
131,newport,51.5877,-2.9984,5.98,87,99,2.63,GB,1701816325
132,arkhangel'sk,64.5401,40.5433,-24.94,84,0,2.0,RU,1701816327
133,vadso,70.0744,29.7487,-5.91,63,20,8.23,NO,1701816327
134,verkh-chebula,56.0308,87.6218,-12.27,95,100,3.79,RU,1701816327
135,tafuna,-14.3358,-170.72,28.97,94,75,7.72,AS,1701816327
136,el calafate,-50.3408,-72.2768,11.86,55,4,6.29,AR,1701816327
137,praya,14.9215,-23.5087,24.3,69,40,7.2,CV,1701816328
138,utrik,11.2278,169.8474,27.65,78,52,9.24,MH,1701816328
139,caconda,-13.7333,15.0667,16.26,97,100,2.5,AO,1701816328
140,novoarkhanhel's'k,48.658,30.8182,-1.96,69,100,4.27,UA,1701816328
141,cidreira,-30.1811,-50.2056,21.03,88,100,8.97,BR,1701816328
142,san antonio de pale,-1.4014,5.6325,26.11,82,100,3.7,GQ,1701816329
143,hamilton,39.1834,-84.5333,7.1,90,100,3.6,US,1701816298
144,tralee,52.2704,-9.7026,5.79,87,100,5.52,IE,1701816329
145,tamanrasset,22.785,5.5228,12.95,21,0,3.09,DZ,1701816329
146,kattivakkam,13.2167,80.3167,27.05,84,97,3.52,IN,1701816329
147,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,87,20,7.6,RU,1701816330
148,cadale,2.7603,46.3222,26.81,75,98,6.42,SO,1701816330
149,castillos,-34.1667,-53.8333,18.31,77,63,6.11,UY,1701816330
150,flying fish cove,-10.4217,105.6791,24.82,88,100,3.09,CX,1701816330
151,nova vicosa,-17.8919,-39.3719,25.1,84,0,4.61,BR,1701816330
152,la passe,45.5549,-0.8967,3.13,74,100,1.68,FR,1701816330
153,arys,42.4252,68.795,10.04,46,89,3.71,KZ,1701816331
154,tabuk,17.4189,121.4443,23.14,91,31,0.66,PH,1701816331
155,port mathurin,-19.6833,63.4167,25.76,81,76,6.6,MU,1701816331
156,mizdah,31.4451,12.9801,11.46,53,100,3.27,LY,1701816331
157,alofi,-19.0595,-169.9187,27.94,69,75,5.66,NU,1701816331
158,catumbela,-12.4314,13.5472,26.51,81,72,0.2,AO,1701816332
159,sars,56.5502,57.1366,-15.28,96,100,2.49,RU,1701816332
160,aykhal,66.0,111.5,-29.05,98,100,3.37,RU,1701816332
161,angaur state,6.906,134.13,28.54,74,72,2.43,PW,1701816332
162,pinsk,52.1229,26.0951,-10.61,97,87,2.87,BY,1701816332
163,aasiaat,68.7098,-52.8699,-19.8,93,29,3.79,GL,1701816333
164,lionel town,17.8101,-77.2406,29.94,80,5,3.83,JM,1701816333
165,nagqu,31.5,92.0,-15.77,86,98,0.97,CN,1701816333
166,nelson,-41.2833,173.2833,17.85,68,61,3.53,NZ,1701816333
167,piton saint-leu,-21.2196,55.3151,20.22,78,0,3.09,RE,1701816333
168,tibagi,-24.5094,-50.4136,20.65,96,96,1.63,BR,1701816333
169,santa cruz,-17.8,-63.1667,27.7,73,40,7.72,BO,1701816304
170,sooke,48.3746,-123.7276,11.99,94,100,2.06,CA,1701816334
171,sepuka,-4.75,34.5333,17.05,92,64,1.68,TZ,1701816334
172,oodweyne,9.4092,45.064,18.13,42,52,5.75,SO,1701816334
173,al mindak,20.1588,41.2834,11.78,31,0,2.26,SA,1701816334
174,at taj,24.2049,23.2857,12.97,64,0,3.78,LY,1701816335
175,seybaplaya,19.65,-90.6667,29.7,82,43,6.25,MX,1701816335
176,coquimbo,-29.9533,-71.3436,16.85,59,0,5.66,CL,1701816156
