City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lib,8.3122,167.3766,27.99,82,44,9.32,MH,1701834694
83,prince albert,53.2001,-105.7677,-4.03,93,20,1.03,CA,1701834694
84,port mathurin,-19.6833,63.4167,25.72,83,94,4.77,MU,1701834694
85,margaret river,-33.95,115.0667,22.61,48,2,6.79,AU,1701834694
86,urmary,55.6789,47.944,-19.34,100,96,2.39,RU,1701834694
87,awjilah,29.1081,21.2869,13.64,67,57,3.25,LY,1701834695
88,kerikeri,-35.2268,173.9474,22.17,84,80,0.89,NZ,1701834695
89,taurianova,38.3563,16.0109,13.43,78,73,7.38,IT,1701834695
90,mareeba,-17.0,145.4333,31.93,34,31,4.53,AU,1701834695
91,soygaon,20.6,75.6167,23.31,70,100,3.3,IN,1701834695
92,south beloit,42.4931,-89.0368,2.12,84,100,2.57,US,1701834696
93,anadyr,64.75,177.4833,-19.72,83,100,7.0,RU,1701834696
94,itacare,-14.2775,-38.9967,24.21,85,58,2.62,BR,1701834696
95,kem',64.9555,34.5793,-10.76,95,100,0.74,RU,1701834696
96,kununurra,-15.7667,128.7333,36.99,44,29,3.09,AU,1701834696
97,east london,-33.0153,27.9116,18.21,75,100,5.58,ZA,1701834696
98,ust-nera,64.5667,143.2,-46.28,98,75,1.95,RU,1701834697
99,fale old settlement,-9.3852,-171.2468,29.11,73,95,4.1,TK,1701834697
100,jamestown,42.097,-79.2353,0.77,99,100,3.6,US,1701834697
101,saipan,15.1355,145.701,30.39,74,40,5.14,MP,1701834697
102,lamarque,-39.423,-65.7021,18.22,66,87,7.42,AR,1701834697
103,port elizabeth,-33.918,25.5701,18.16,74,100,5.14,ZA,1701834697
104,calabozo,8.9242,-67.4293,26.29,57,86,2.6,VE,1701834697
105,ondangwa,-17.9167,15.95,20.0,88,100,5.66,NA,1701834698
106,al jubayl,27.0112,49.6583,20.88,54,6,2.29,SA,1701834698
107,fort mcmurray,56.7268,-111.381,6.73,61,0,5.14,CA,1701834698
108,alenquer,-1.9417,-54.7383,24.97,78,36,1.31,BR,1701834698
109,kone,-21.0595,164.8658,29.68,54,99,4.19,NC,1701834698
110,salinopolis,-0.6136,-47.3561,26.8,84,89,4.69,BR,1701834698
111,voi,-3.3945,38.563,22.46,93,49,1.59,KE,1701834699
112,la ronge,55.1001,-105.2842,-1.86,86,40,2.06,CA,1701834699
113,codrington,-38.2667,141.9667,18.74,47,64,5.59,AU,1701834699
114,port lincoln,-34.7333,135.8667,22.21,54,81,1.44,AU,1701834699
115,baruun-urt,46.6806,113.2792,-16.13,85,96,4.13,MN,1701834699
116,conceicao do araguaia,-8.2578,-49.2647,24.85,66,3,0.98,BR,1701834699
117,tlahualilo de zaragoza,26.1167,-103.45,16.29,38,0,1.99,MX,1701834699
118,bilibino,68.0546,166.4372,-30.72,99,100,1.76,RU,1701834700
119,tsiombe,-25.3,45.4833,25.46,72,37,4.78,MG,1701834700
120,beitbridge,-22.2167,30.0,20.81,76,38,10.1,ZW,1701834700
